index	tc	name	category	url
0	0:00	0_00	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182414_5f12631e-02a0-46a8-ba8a-b581abd4d02d.mp4
1	0:07	0_07	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182429_9d53d03d-300b-4b96-9fd3-ab5cf54cb6c8.mp4
2	0:14	0_14	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182414_da6a9dbd-1859-425d-90c5-a850a1df4649.mp4
3	0:21	0_21	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182429_3e86fcf8-7fb1-42e7-8862-11e1a58b9350.mp4
4	0:28	0_28	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182430_0d471ea9-9e69-4ee8-a88b-e4aca1bc6a06.mp4
5	0:35	0_35	sharp	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182414_58473925-cf35-4b2e-a8ff-547eeaacaade.mp4
6	0:42	0_42	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182414_bb04d23b-4a12-49a4-8d24-4dbae37499e8.mp4
7	0:49	0_49	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182414_c2978c50-2533-4e28-bc30-17518e72baa5.mp4
8	0:56	0_56	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182414_4f53f955-88ab-4ccb-8edc-3bbeb9867a30.mp4
9	1:03	1_03	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182430_7199825a-7a75-4512-8650-1a4075170c87.mp4
10	1:10	1_10	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182414_adb156b9-bd27-4641-8560-6ef3043e8b87.mp4
11	1:17	1_17	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182414_820b7a75-31d6-46fa-9691-3edb2705f425.mp4
12	1:24	1_24	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182501_d59d4ec4-90b8-4154-bdef-b033dc4217d2.mp4
13	1:31	1_31	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182501_1ac85ef2-1a02-4167-8636-a15e5cb55184.mp4
14	1:38	1_38	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182501_29f71bae-6883-428b-9cf8-3dea69e54e1a.mp4
15	1:45	1_45	gentle	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182501_610afc35-7499-461b-ad68-f6e0e35ca945.mp4
16	1:52	1_52	sharp	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182501_a36ac007-a1f8-469e-a3ae-95398cda6676.mp4
17	1:59	1_59	sharp	https://d8j0ntlcm91z4.cloudfront.net/user_3H0VpNOETP4iFCc9Ircvn51x9LF/hf_20260822_182502_e6f963a1-8ed4-48a2-bc48-d09bcf5a6a79.mp4
